,doc_url,name,bulletin,topic,commission
54_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/700-Iniciativa-Convencional-Constituyente-de-la-cc-Alejandra-Perez-sobre-Resolucion-de-Conflictos.pdf,"Iniciativa Convencional Constituyente que establece como finalidad del Estado la convivencia pacífica entre sus integrantes, establece el derecho de acceso a la justicia y el objeto de la educación",Boletín 700-2,Derecho de acceso a la justicia y el objeto de la educación,"Comisiones de Principios Constitucionales, Derechos Fundamentales y Sistemas de Justicia"
56_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/698-Iniciativa-Convencional-Constituyente-de-la-cc-Alejandra-Flores-sobre-Educacion-01-02.pdf,Iniciativa Convencional Constituyente que establece el deber del Estado de Garantizar el derecho a la educación,Boletín 698-4,Garantizar derecho a la educación,Comisión de Derechos Fundamentales
58_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/696-Iniciativa-Convencional-Consituyente-del-cc-Alvaro-Jofre-sobre-Descentralizacion-Fiscal-01-02.pdf,Iniciativa Convencional Constituyente que establece la participación significativa de los réditos de las actividades económicas de las unidades territoriales en que se organiza el país,Boletín 696-3,Actividades económicas ,Comisión sobre Forma de Estado
60_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/694-Iniciativa-Convencional-Constituyente-del-cc-Rodrigo-Alvarez-sobre-Reforma-a-la-Constitucion-121101-02.pdf,Iniciativa Convencional Constituyente sobre Reforma de la Constitución,Boletín 694-6,Reforma de la Constitución,Comisión sobre Sistemas de Justicia
51_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/703-Iniciativa-Convencional-Constituyente-de-la-cc-Carolina-Videla-sobre-Personas-Privadas-de-Libertad.pdf,"Iniciativa Convencional Constituyente que extingue la responsabilidad penal, la pena y sus efectos de las personas que señala por los delitos que indica en el período comprendido entre el 7 de octubre de 2019 y el 11 de marzo de 2022",Boletín 703-4,Responsabilidad penal ,Comisión de Derechos Fundamentales
53_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/701-Iniciativa-Convencional-Constituyente-de-la-cc-Alejandra-Perez-sobre-Seguridad-Social.pdf,Iniciativa Convencional Constituyente que establece el deber del Estado de contar con un Sistema de Seguridad Social,Boletín 701-4,Seguridad Social,Comisión de Derechos Fundamentales
55_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/699-Iniciativa-Convencional-Constituyente-de-la-cc-Alejandra-Perez-sobre-Cuarto-Poder-CORREGIDA.pdf,Iniciativa Convencional Constituyente que establece el Poder Ciudadano como un cuarto poder del Estado,Boletín 699-1,Poder ciudadano,Comisión sobre Sistema Político
57_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/697-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Trinidad-Castillo-sobre-Educacion-Plurinacional-01-02.pdf,"Iniciativa Convencional Constituyente que establece el Deber del Estado de financiar un sistema de educación pública, gratuita y de calidad y establece la diversidad e identidad cultura",Boletín 697-4,"Sistema de educación pública, gratuita y de calidad ",Comisiones de Derechos Fundamentales y de Sistema de Conocimientos
59_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/695-Iniciativa-Convencional-del-cc-Felipe-Harboe-sobre-Ministerio-Publico-120001-02.pdf,Iniciativa Convencional Constituyente sobre Estatuto Constitucional del Ministerio Público,Boletín 695-6,Estatuto Constitucional del Ministerio  Público,Comisión sobre Sistemas de Justicia
62_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/692-Iniciativa-Convencional-Constituyente-del-cc-Pedro-Munoz-sobre-Agua-y-Buen-Vivir-120001-02.pdf,Iniciativa Convencional Constituyente que establece el deber del Estado de asegurar la gestión integrada de Cuencas hidrográficas,Boletín 692-5,Cuencas hidrográficas,Comisión sobre Medio Ambiente
