,doc_url,name,bulletin,topic,commission
64_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/690-Iniciativa-Convencional-Constituyente-del-cc-Patricio-Fernandez-sobre-Derecho-a-una-Vivienda-Digna-121101-02.pdf,Iniciativa Convencional Constituyente que consagra el Derecho a una vivienda digna y adecuada,Boletín 690-4,Derecho a una vivienda digna  ,Comisión de Derechos Fundamentales
66_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/688-Iniciativa-Convencional-Constituyente-del-cc-Matias-Orellana-sobre-derecho-a-la-ciudad-120001-02.pdf,Iniciativa Convencional Constituyente que consagra el Derecho a la ciudad,Boletín 688-4,Derecho a la ciudad,Comisión de Derechos Fundamentales
68_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/686-Iniciativa-Convencional-Constituyente-del-cc-Mario-Vrgas-sobre-Democracia-Digital-181101-02.pdf,Iniciativa Convencional Constituyente que propone disposiciones sobre Participación popular y democracia digital y postal,Boletín 686-2,Participación Popular,Comisión sobre Principios Constitucionales
70_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/684-Iniciativa-Convencional-Constituyente-del-cc-Luis-Barcelo-sobre-Hidrocarburos-121101-02.pdf,"Iniciativa Convencional Constituyente que propone normas sobre explotación y explotación de hidrocarburos líquidos y gaseosos y metales alcalinos (Hidrógeno verde, litio y cobalto)",Boletín 684-5,Explotación de hidrocarburos,Comisión sobre Medio Ambiente
61_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/693-Iniciativa-Convencional-Constituyente-del-cc-Ricardo-Neumann-sobre-DIversidad-Intercultural-121101-02.pdf,"Iniciativa Convencional Constituyente que establece el deber del Estado de reconocer, promover y proteger la diversidad intercultural y patrimonial",Boletín 693-7,Diversidad intercultural y patrimonial,Comisión sobre Sistemas de Conocimientos
63_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/691-Iniciativa-Convencional-Constituyente-del-cc-Patricio-Fernandez-sobre-Derecho-a-Respirar-Aire-Puro121101-02.pdf,Iniciativa Convencional Constituyente que reconoce el derecho de las personas a respirar “aire puro” y establece el deber del Estado de adoptar medidas para evitar la exposición al riesgo o la afectación de la salud,Boletín 691-4,Deber del Estado,Comisión de Derechos Fundamentales
65_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/689-Iniciativa-Convencional-Constituyente-del-cc-Matias-Orellana-sobre-Derechos-de-NNA-181101-02.pdf,"Iniciativa Convencional Constituyente que consagra la titularidad de derechos de niños, niñas y adolescentes",Boletín 689-4,"Titularidad de derechos de niños, niñas y adolescentes",Comisión de Derechos Fundamentales
67_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/687-Iniciativa-Convencional-Constituyente-del-cc-Matias-Orellana-sobre-Ingreso-Minimo-141101-02.pdf,Iniciativa Convencional Constituyente que consagra el Derecho al Ingreso Básico Garantizado,Boletín 687-4,Derecho al Ingreso Básico Garantizado,Comisión de Derechos Fundamentales
69_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/685-Iniciativa-Convencional-Constituyente-del-cc-Mario-Vargas-sobre-Derecho-a-la-Cultural-Corporal-141101-02.pdf,"Iniciativa Convencional Constituyente que reconoce el derecho a la cultura corporal, Educación física, deporte, recreación y movimientos corporales",Boletín 685-4,Derecho a la cultura corporal,Comisión de Derechos Fundamentales
72_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/682-Iniciativa-Convencional-Constituyente-del-cc-Javier-Fuchslocher-sobre-Trabajo-Decente-131101-02.pdf,Iniciativa Convencional Constituyente para garantizar la protección del trabajo y el reconocimiento del derecho al trabajo decente,Boletín 682-4,Protección del trabajo y derecho al trabajo decente,Comisión de Derechos Fundamentales
76_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/678-Iniciativa-Convencional-Constituyente-del-cc-Felix-Galleguillos-sobre-Pueblos-Originarios-121101-02.pdf,"Iniciativa Convencional Constituyente que establece el derecho de los pueblos indígenas a mantener un contacto, relaciones e intercambio permanente, más allá de los límites fronterizos del Estado",Boletín 678-1,Derechos pueblos indígenas,Comisión sobre Sistema Político
78_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/676-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Harboe-sobre-No-discriminacion-121101-02.pdf,Iniciativa Convencional Constituyente que regula la prohibición de discriminación,Boletín 676-4,Prohibición de discriminación ,Comisión de Derechos Fundamentales
80_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/674-Iniciativa-Convencional-Constituyente-del-cc-Cesar-Valenzuela-sobre-Seguridad-Social-121101-02.pdf,Iniciativa Convencional Constituyente que garantiza el derecho a la Seguridad Social y Pensiones,Boletín 674-4,Derecho a la seguridad social y Pensiones,Comisión de Derechos Fundamentales
71_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/683-Iniciativa-Convencional-Constituyente-del-cc-Jorge-Abarca-sobre-Pueblo-Tribal-150001-02.pdf,Iniciativa Convencional Constituyente que incorpora al pueblo tribal afrodescendiente chileno a los criterios de plurinacionalidad del Estado,Boletín 683-1,Incorpora a pueblo tribal afrodescendiente a criterios de plurinacionalidad,"Comisiones de Sistema Político, Principios Constitucionales, Forma de Estado, Sistemas de Justicia y Sistema de Conocimientos"
73_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/681-Iniciativa-Convencional-Constituyente-del-cc-Gaspar-Dominguez-sobre-el-Derecho-a-la-salud-120001-02.pdf,Iniciativa Convencional Constituyente que consagra el Derecho a la salud,Boletín 681-4,Derecho a la salud,Comisión de Derechos Fundamentales
75_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/679-Iniciativa-Convencional-Constituyente-del-cc-Francisco-Caamano-sobre-Crisis-Climatica-y-Ecologica-121101-02.pdf,Iniciativa Convencional Constituyente que crea el Servicio Nacional para la Crisis Climática y Ecológica,Boletín 679-5,Servicio Nacional para la Crisis Climática y Ecológica,Comisión sobre Medio Ambiente
77_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/677-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Mena-sobre-Derecho-al-Acceso-a-la-Montana-121101-02.pdf,Iniciativa Convencional Constituyente que establece un derecho al acceso a la montaña y sus condiciones de ejercicio,Boletín 677-5,Acceso a la  montaña ,Comisión sobre Medio Ambiente
79_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/675-Iniciativa-Convencional-Constituyente-del-cc-Felipe-Harboe-sobre-Congreso-Nacional-121101-02.pdf,Iniciativa Convencional Constituyente que propone un sistema de elección mayoritario para el Congreso Nacional,Boletín 675-1,Congreso Nacional,Comisión sobre Sistema Político
82_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/672-Iniciativa-Convencional-Constituyente-del-cc-Carolina-Sepulveda-sobre-Principios-Ambientales-121101-02.pdf,Iniciativa Convencional Constituyente que reconoce principios ambientales transversales,Boletín 672-2,Principios ambientales transversales ,Comisión sobre Principios Constitucionales
84_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/670-Iniciativa-Convencional-Constituyente-del-cc-Alvin-Saldana-sobre-Pueblos-Originarios-121101-02.pdf,"Iniciativa Convencional Constituyente que establece principios constitucionales sobre Pueblos Indígenas y del pueblo Tribal Afrodescendiente regulando participación política, auto determinación territorial",Boletín 670-2,Principios sobre pueblos indígenas y pueblo tribal afrodescendiente,Comisión sobre Principios Constitucionales
86_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/668-Iniciativa-Convencional-Constituyente-de-lacc-Isabella-Mamani-sobre-Derecho-a-la-Salud-de-PPOO-121101-02-1.pdf,Iniciativa Convencional Constituyente que reconoce el derecho a salud y bienestar de pueblos y naciones indígenas,Boletín 668-4,Derecho a la salud pueblos y naciones indígenas,Comisión de Derechos Fundamentales
88_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/666-Iniciativa-Convencional-Constituyente-de-la-cc-Tatiana-Urrutia-sobre-Desaparicion-Forzada-121101-02-1.pdf,Iniciativa Convencional Constituyente que consagra la prohibición a la tortura y la desaparición forzada,Boletín 666-4,Prohibición a la tortura y desaparición forzada,Comisión de Derechos Fundamentales
90_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/664-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Magdalena-Rivera-sobre-Planificacion-Economica121101-02.pdf,"Iniciativa Convencional Constituyente que propone la socialización de los medios de producción, en relación a la planificación de la Economía",Boletín 664-5,Socialización medios producción,Comisión sobre Medio Ambiente
81_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/673-Iniciativa-Convencional-Constituyente-del-cc-Carolina-Spulveda-sobre-Soberania-y-Seguridad-Alimentaria-121101-02.pdf,Iniciativa Convencional Constituyente sobre soberanía y seguridad alimentaria,Boletín 673-5,Soberanía y seguridad alimentaria,Comisión sobre Medio Ambiente
83_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/671-Iniciativa-Convencional-Constituyente-del-cc-Bernardo-Fontaine-Formacion-de-la-Ley-121101-02.pdf,"Iniciativa Convencional Constituyente que propone iniciativa normativa exclusiva del Presidente de la República en materias de división administrativas, administración financiera y enajenación de bienes",Boletín 671-1,Iniciativa normativa Presidente de la República,Comisión sobre Sistema Político
87_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/667-Iniciativa-Convencional-Constituyente-de-la-cc-Tatiana-Urrutia-sobre-Servicios-Publicos-130001-02-1.pdf,"Iniciativa Convencional Constituyente que reconoce el Derecho a Salud, en particular el establecimiento de servicios y sistemas públicos",Boletín 667-4,Derecho a la salud,Comisión de Derechos Fundamentales
89_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/665-Iniciativa-Convencional-Constituyente-de-la-cc-Ramona-Reyes-sobre-Educacion-161101-02.pdf,Iniciativa Convencional Constituyente que reconoce el Derecho a la Educación,Boletín 665-4,Derecho a la educación,Comisión de Derechos Fundamentales
92_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/662-Iniciativa-Convencional-Constituyente-de-la-cc-Lorena-Cespedes-sobre-Derecho-a-la-Educacion-121101-02.pdf,Iniciativa Convencional Constituyente que consagra el Derecho a la educación,Boletín 662-4,Derecho a la educación,Comisión de Derechos Fundamentales
94_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/660-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Sufragio-Adolescente-Voluntario121101-02.pdf,Iniciativa Convencional Constituyente que reconoce el derecho a sufragio desde los 14 años a nivel comunal y desde los 16 años a todo nivel,Boletín 660-2,Derecho a sufragio,Comisión sobre Principios Constitucionales
96_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/658-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Medicina-Alternativa-121101-02.pdf,"Iniciativa Convencional Constituyente que reconoce, garantiza y protege el acceso a medios alternativos de medicina",Boletín 658-4,Acceso a medios alternativos de medicina,Comisión de Derechos Fundamentales
98_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/656-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Unidades-Vecinales-121101-02.pdf,Iniciativa Convencional Constituyente que reglamenta imperativamente a las municipalidades el establecimiento de unidades vecinales,Boletín 656-3,Unidades vecinales,Comisión sobre Forma de Estado
100_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/654-Iniciativa-Convencional-Constituyente-de-la-cc-Isabella-Mamani-sobre-Derecho-a-la-Consulta-Indigena-121101-02.pdf,Iniciativa Convencional Constituyente que reconoce el derecho a la consulta previa de pueblos originarios en materias que puedan afectar sus derechos,Boletín 654-4,Derecho a consulta previa,Comisión de Derechos Fundamentales
91_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/663-Iniciativa-Convencional-Constituyente-de-la-cc-Margarita-Vargas-sobre-Proteccion-de-la-Biodiversidad-121101-02.pdf,Iniciativa Convencional Constituyente que propone la protección de la biodiversidad genética en la agricultura,Boletín 663-4,Biodiversidad genética en la agricultura,Comisión de Derechos Fundamentales
93_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/661-Iniciativa-Convencional-Constituyente-de-la-cc-Lisette-Vergara-sobre-Transporte-Publico-121101-02.pdf,"Iniciativa Convencional Constituyente que reconoce el acceso al transporte público gratuito, en contexto de elecciones",Boletín 661-4,Acceso a transporte público gratuito,Comisión de Derechos Fundamentales
